UIC;Gare enquêtée;Motif du déplacement;POURCENTAGE;Année
286005.0;Lille Flandres;Démarches administratives, médicales ou achat;1.0;2013
345025.0;Lens;Déplacement domicile - travail habituel;40.0;2016
393702.0;Massy TGV;Déplacement domicile - travail habituel;8.0;2013
583005.0;Angoulême;Déplacement domicile - étude (y compris stage);20.0;2012
686006.0;Paris Gare de Lyon;Déplacement domicile - étude (y compris stage);9.0;2012
722025.0;Lyon Perrache;Déplacement domicile - étude (y compris stage);18.0;2011
753657.0;Arles;Déplacement professionnel occasionnel;16.0;2014
756056.0;Nice;Déplacement domicile - travail habituel;33.0;2014
171009.0;Reims;Déplacement professionnel occasionnel;14.0;2016
212027.0;Strasbourg;Déplacement domicile - étude (y compris stage);24.0;2016
384008.0;Paris St Lazare;Déplacement domicile - travail habituel;65.0;2013
673400.0;Biarritz;Déplacement domicile - travail habituel;12.0;2016
713040.0;Dijon;Démarches administratives, médicales ou achat;5.0;2015
747006.0;Grenoble;Déplacement professionnel occasionnel;14.0;2015
751008.0;Marseille Saint-Charles;Déplacement professionnel occasionnel;17.0;2013
763029.0;Valence TGV Rhône-Alpes Sud;Démarches administratives, médicales ou achat;1.0;2015
113001.0;Paris Est;Déplacement professionnel occasionnel;14.0;2012
171009.0;Reims;Démarches administratives, médicales ou achat;3.0;2016
223263.0;Lille Europe;Démarches administratives, médicales ou achat;1.0;2013
271007.0;Paris Nord;Loisirs, vacances, visite d'un proche ou ami;20.0;2012
396002.0;Le Mans;Loisirs, vacances, visite d'un proche ou ami;24.0;2015
411017.0;Rouen Rive Droite;Loisirs, vacances, visite d'un proche ou ami;19.0;2014
571000.0;Tours;Démarches administratives, médicales ou achat;3.0;2016
575001.0;Poitiers;Loisirs, vacances, visite d'un proche ou ami;29.0;2015
686006.0;Paris Gare de Lyon;Déplacement professionnel occasionnel;25.0;2012
763029.0;Valence TGV Rhône-Alpes Sud;Loisirs, vacances, visite d'un proche ou ami;39.0;2015
113001.0;Paris Est;Loisirs, vacances, visite d'un proche ou ami;16.0;2012
300822.0;Belfort Montbéliard TGV;Loisirs, vacances, visite d'un proche ou ami;25.0;2015
313874.0;Amiens;Déplacement domicile - travail habituel;23.0;2015
319012.0;Aix en Provence-TGV;Démarches administratives, médicales ou achat;2.0;2015
319012.0;Aix en Provence-TGV;Déplacement professionnel occasionnel;59.0;2015
484006.0;Angers Saint Laud;Déplacement domicile - travail habituel;41.0;2015
677005.0;Hendaye;Déplacement domicile - travail habituel;5.0;2016
713040.0;Dijon;Déplacement domicile - étude (y compris stage);23.0;2015
718007.0;Besançon-Viotte;Déplacement domicile - étude (y compris stage);21.0;2012
747006.0;Grenoble;Démarches administratives, médicales ou achat;3.0;2015
171009.0;Reims;Déplacement domicile - travail habituel;41.0;2016
182063.0;Mulhouse;Loisirs, vacances, visite d'un proche ou ami;22.0;2014
212027.0;Strasbourg;Démarches administratives, médicales ou achat;3.0;2016
212027.0;Strasbourg;Déplacement domicile - travail habituel;42.0;2016
286005.0;Lille Flandres;Déplacement professionnel occasionnel;15.0;2013
318964.0;Avignon TGV;Déplacement domicile - travail habituel;19.0;2015
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;Loisirs, vacances, visite d'un proche ou ami;30.0;2012
444877.0;Cherbourg;Loisirs, vacances, visite d'un proche ou ami;20.0;2015
611004.0;Toulouse Matabiau;Déplacement domicile - étude (y compris stage);22.0;2014
677005.0;Hendaye;Déplacement domicile - étude (y compris stage);9.0;2016
784009.0;Perpignan;Démarches administratives, médicales ou achat;6.0;2016
300863.0;Besançon Franche-Comté TGV;Déplacement domicile - étude (y compris stage);15.0;2015
393702.0;Massy TGV;Déplacement domicile - étude (y compris stage);1.0;2013
571000.0;Tours;Déplacement domicile - étude (y compris stage);13.0;2016
575001.0;Poitiers;Déplacement professionnel occasionnel;31.0;2015
583005.0;Angoulême;Déplacement domicile - travail habituel;19.0;2012
583005.0;Angoulême;Loisirs, vacances, visite d'un proche ou ami;45.0;2012
673400.0;Biarritz;Déplacement professionnel occasionnel;13.0;2016
713040.0;Dijon;Loisirs, vacances, visite d'un proche ou ami;26.0;2015
753657.0;Arles;Déplacement domicile - travail habituel;25.0;2014
762906.0;Lyon Saint Exupery TGV;Démarches administratives, médicales ou achat;1.0;2016
775007.0;Nîmes;Déplacement professionnel occasionnel;19.0;2014
141002.0;Nancy;Déplacement domicile - travail habituel;26.0;2014
182014.0;Colmar;Déplacement domicile - travail habituel;39.0;2017
223263.0;Lille Europe;Déplacement professionnel occasionnel;29.0;2013
223263.0;Lille Europe;Loisirs, vacances, visite d'un proche ou ami;27.0;2013
411017.0;Rouen Rive Droite;Déplacement domicile - travail habituel;36.0;2014
444000.0;Caen;Déplacement domicile - étude (y compris stage);17.0;2012
686006.0;Paris Gare de Lyon;Déplacement domicile - travail habituel;37.0;2012
713040.0;Dijon;Déplacement professionnel occasionnel;23.0;2015
722025.0;Lyon Perrache;Déplacement professionnel occasionnel;13.0;2011
784009.0;Perpignan;Loisirs, vacances, visite d'un proche ou ami;47.0;2016
171009.0;Reims;Loisirs, vacances, visite d'un proche ou ami;17.0;2016
182014.0;Colmar;Déplacement professionnel occasionnel;13.0;2017
182063.0;Mulhouse;Déplacement domicile - travail habituel;34.0;2014
271007.0;Paris Nord;Déplacement professionnel occasionnel;24.0;2012
318964.0;Avignon TGV;Déplacement professionnel occasionnel;22.0;2015
319012.0;Aix en Provence-TGV;Loisirs, vacances, visite d'un proche ou ami;37.0;2015
384008.0;Paris St Lazare;Déplacement professionnel occasionnel;6.0;2013
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;Démarches administratives, médicales ou achat;4.0;2012
481002.0;Nantes;Démarches administratives, médicales ou achat;1.0;2014
484006.0;Angers Saint Laud;Déplacement professionnel occasionnel;25.0;2015
547000.0;Paris Austerlitz;Déplacement domicile - travail habituel;37.0;2013
547000.0;Paris Austerlitz;Loisirs, vacances, visite d'un proche ou ami;33.0;2013
755009.0;Toulon;Loisirs, vacances, visite d'un proche ou ami;56.0;2014
118000.0;Troyes;Déplacement domicile - étude (y compris stage);14.0;2015
271494.0;Aéroport Charles de Gaulle 2 TGV;Déplacement professionnel occasionnel;35.0;2013
300863.0;Besançon Franche-Comté TGV;Démarches administratives, médicales ou achat;0.0;2015
444000.0;Caen;Déplacement professionnel occasionnel;12.0;2012
471003.0;Rennes;Déplacement domicile - travail habituel;37.0;2014
