UIC;Gare enquêtée;CSP;Pourcentage;Année
484006;Angers Saint Laud;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2015
583005;Angoulême;Militaire;4.0;2012
583005;Angoulême;Ouvrier, Employé;22.0;2012
318964;Avignon TGV;Ouvrier, Employé;15.0;2015
271494;Aéroport Charles de Gaulle 2 TGV;Ouvrier, Employé;5.0;2013
271494;Aéroport Charles de Gaulle 2 TGV;Sans emploi;0.8;2013
673004;Bayonne;Retraité;17.0;2013
300822;Belfort Montbéliard TGV;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;38.0;2015
673400;Biarritz;Ouvrier, Employé;20.0;2016
713040;Dijon;Retraité;12.0;2015
747006;Grenoble;Etudiant (après le bac);21.0;2015
723197;Lyon Part Dieu;Militaire;1.0;2011
722025;Lyon Perrache;Retraité;8.0;2011
762906;Lyon Saint Exupery TGV;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2016
393702;Massy TGV;Autre;0.5;2013
393702;Massy TGV;Militaire;0.4;2013
192039;Metz;Technicien, Agent de maîtrise;5.0;2011
192039;Metz;Militaire;0.8;2016
192039;Metz;Sans emploi;6.0;2016
192039;Metz;Technicien, Agent de maîtrise;5.0;2016
773002;Montpellier Saint-Roch;Sans emploi;5.0;2015
547000;Paris Austerlitz;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2013
;Paris Bercy;Etudiant (après le bac);6.0;2012
;Paris Bercy;Technicien, Agent de maîtrise;25.0;2012
113001;Paris Est;Militaire;0.9;2012
686006;Paris Gare de Lyon;Enseignant, Professeur;1.0;2012
271007;Paris Nord;Autre;0.2;2012
271007;Paris Nord;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;21.0;2012
271007;Paris Nord;Retraité;3.0;2012
384008;Paris St Lazare;Retraité;4.0;2013
171009;Reims;Agriculteur, Exploitant agricole;0.30000000000000004;2016
471003;Rennes;Militaire;1.0;2014
471003;Rennes;Retraité;10.0;2014
212027;Strasbourg;Enseignant, Professeur;4.0;2016
212027;Strasbourg;Scolaire (avant le bac);6.0;2016
118000;Troyes;Retraité;10.0;2015
118000;Troyes;Technicien, Agent de maîtrise;7.0;2015
319012;Aix en Provence-TGV;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;38.0;2015
319012;Aix en Provence-TGV;Ouvrier, Employé;15.0;2015
753657;Arles;Agriculteur, Exploitant agricole;0.8;2014
318964;Avignon TGV;Scolaire (avant le bac);2.0;2015
673400;Biarritz;Agriculteur, Exploitant agricole;0.2;2016
581009;Bordeaux Saint-Jean;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;15.0;2014
713040;Dijon;Ouvrier, Employé;27.0;2015
747006;Grenoble;Retraité;7.0;2015
396002;Le Mans;Ouvrier, Employé;24.0;2015
345025;Lens;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2016
142109;Lorraine TGV;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2017
142109;Lorraine TGV;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;34.0;2017
142109;Lorraine TGV;Etudiant (après le bac);7.0;2017
723197;Lyon Part Dieu;Enseignant, Professeur;2.0;2011
723197;Lyon Part Dieu;Technicien, Agent de maîtrise;6.0;2011
722025;Lyon Perrache;Ouvrier, Employé;27.0;2011
111849;Marne la Vallée Chessy;Agriculteur, Exploitant agricole;0.2;2013
751008;Marseille Saint-Charles;Agriculteur, Exploitant agricole;0.30000000000000004;2013
751008;Marseille Saint-Charles;Technicien, Agent de maîtrise;6.0;2013
393702;Massy TGV;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2013
393702;Massy TGV;Technicien, Agent de maîtrise;13.0;2013
192039;Metz;Scolaire (avant le bac);8.0;2011
192039;Metz;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2016
756056;Nice;Retraité;13.0;2014
756056;Nice;Scolaire (avant le bac);4.0;2014
775007;Nîmes;Ouvrier, Employé;22.0;2014
;Paris Bercy;Retraité;11.0;2012
686006;Paris Gare de Lyon;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2012
686006;Paris Gare de Lyon;Militaire;0.4;2012
784009;Perpignan;Technicien, Agent de maîtrise;4.0;2016
471003;Rennes;Scolaire (avant le bac);3.0;2014
212027;Strasbourg;Ouvrier, Employé;24.0;2016
755009;Toulon;Technicien, Agent de maîtrise;4.0;2014
611004;Toulouse Matabiau;Agriculteur, Exploitant agricole;0.30000000000000004;2014
611004;Toulouse Matabiau;Ouvrier, Employé;20.0;2014
611004;Toulouse Matabiau;Sans emploi;9.0;2014
313874;Amiens;Militaire;0.5;2015
313874;Amiens;Scolaire (avant le bac);14.0;2015
484006;Angers Saint Laud;Technicien, Agent de maîtrise;5.0;2015
318964;Avignon TGV;Technicien, Agent de maîtrise;8.0;2015
300822;Belfort Montbéliard TGV;Etudiant (après le bac);6.0;2015
673400;Biarritz;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;17.0;2016
581009;Bordeaux Saint-Jean;Retraité;12.0;2014
757625;Cannes;Ouvrier, Employé;26.0;2015
444877;Cherbourg;Etudiant (après le bac);11.0;2015
747006;Grenoble;Autre;5.0;2015
478404;Laval;Scolaire (avant le bac);5.0;2011
286005;Lille Flandres;Retraité;5.0;2013
723197;Lyon Part Dieu;Etudiant (après le bac);20.0;2011
762906;Lyon Saint Exupery TGV;Enseignant, Professeur;3.0;2016
751008;Marseille Saint-Charles;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;20.0;2013
393702;Massy TGV;Enseignant, Professeur;5.0;2013
393702;Massy TGV;Scolaire (avant le bac);3.0;2013
192039;Metz;Enseignant, Professeur;4.0;2011
192039;Metz;Sans emploi;5.0;2011
192039;Metz;Retraité;9.0;2016
756056;Nice;Artisan, Commerçant, Chef d'entreprise TPE;5.0;2014
;Paris Bercy;Enseignant, Professeur;5.0;2012
686006;Paris Gare de Lyon;Etudiant (après le bac);4.0;2012
686006;Paris Gare de Lyon;Technicien, Agent de maîtrise;3.0;2012
784009;Perpignan;Retraité;20.0;2016
411017;Rouen Rive Droite;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2014
411017;Rouen Rive Droite;Technicien, Agent de maîtrise;5.0;2014
212027;Strasbourg;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;18.0;2016
611004;Toulouse Matabiau;Enseignant, Professeur;3.0;2014
611004;Toulouse Matabiau;Etudiant (après le bac);23.0;2014
118000;Troyes;Ouvrier, Employé;16.0;2015
319012;Aix en Provence-TGV;Technicien, Agent de maîtrise;5.0;2015
686006;Paris Gare de Lyon;Autre;0.0;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Autre;0.2;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Militaire;1.0;2012
784009;Perpignan;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2016
471003;Rennes;Enseignant, Professeur;7.0;2014
471003;Rennes;Ouvrier, Employé;16.0;2014
763029;Valence TGV Rhône-Alpes Sud;Artisan, Commerçant, Chef d'entreprise TPE;7.0;2015
763029;Valence TGV Rhône-Alpes Sud;Militaire;1.0;2015
763029;Valence TGV Rhône-Alpes Sud;Sans emploi;5.0;2015
318964;Avignon TGV;Enseignant, Professeur;4.0;2015
751008;Marseille Saint-Charles;Autre;1.0;2013
722025;Lyon Perrache;Agriculteur, Exploitant agricole;0.30000000000000004;2011
762906;Lyon Saint Exupery TGV;Ouvrier, Employé;14.0;2016
722025;Lyon Perrache;Non communiqué;0.1;2011
396002;Le Mans;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2015
345025;Lens;Scolaire (avant le bac);13.0;2016
345025;Lens;Ouvrier, Employé;28.0;2016
182014;Colmar;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;11.0;2017
182014;Colmar;Agriculteur, Exploitant agricole;0.1;2017
757625;Cannes;Scolaire (avant le bac);21.0;2015
444877;Cherbourg;Sans emploi;3.0;2015
773002;Montpellier Saint-Roch;Enseignant, Professeur;5.0;2015
773002;Montpellier Saint-Roch;Militaire;0.5;2015
182063;Mulhouse;Sans emploi;8.0;2014
581009;Bordeaux Saint-Jean;Autre;0.6000000000000001;2014
286005;Lille Flandres;Ouvrier, Employé;27.0;2013
286005;Lille Flandres;Militaire;0.5;2013
476002;Lorient;Autre;1.0;2010
300863;Besançon Franche-Comté TGV;Enseignant, Professeur;7.0;2015
757625;Cannes;Autre;0.4;2015
182014;Colmar;Etudiant (après le bac);21.0;2017
747006;Grenoble;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;23.0;2015
747006;Grenoble;Enseignant, Professeur;5.0;2015
747006;Grenoble;Technicien, Agent de maîtrise;5.0;2015
677005;Hendaye;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2016
223263;Lille Europe;Etudiant (après le bac);12.0;2013
722025;Lyon Perrache;Etudiant (après le bac);18.0;2011
111849;Marne la Vallée Chessy;Technicien, Agent de maîtrise;1.0;2013
192039;Metz;Ouvrier, Employé;32.0;2011
182063;Mulhouse;Etudiant (après le bac);21.0;2014
481002;Nantes;Autre;6.0;2014
481002;Nantes;Sans emploi;5.0;2014
547000;Paris Austerlitz;Technicien, Agent de maîtrise;9.0;2013
113001;Paris Est;Retraité;5.0;2012
686006;Paris Gare de Lyon;Retraité;3.0;2012
171009;Reims;Etudiant (après le bac);14.0;2016
171009;Reims;Sans emploi;8.0;2016
755009;Toulon;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2014
571000;Tours;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;18.0;2016
484006;Angers Saint Laud;Scolaire (avant le bac);7.0;2015
318964;Avignon TGV;Agriculteur, Exploitant agricole;1.0;2015
673004;Bayonne;Agriculteur, Exploitant agricole;0.1;2013
300822;Belfort Montbéliard TGV;Autre;4.0;2015
673400;Biarritz;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2016
581009;Bordeaux Saint-Jean;Etudiant (après le bac);20.0;2014
444877;Cherbourg;Autre;3.0;2015
476002;Lorient;Militaire;0.8;2010
751008;Marseille Saint-Charles;Sans emploi;6.0;2013
192039;Metz;Non communiqué;0.9;2011
192039;Metz;Ouvrier, Employé;28.0;2016
182063;Mulhouse;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;15.0;2014
481002;Nantes;Retraité;12.0;2014
756056;Nice;Etudiant (après le bac);21.0;2014
547000;Paris Austerlitz;Non communiqué;0.6000000000000001;2013
113001;Paris Est;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2012
271007;Paris Nord;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2012
384008;Paris St Lazare;Agriculteur, Exploitant agricole;0.2;2013
575001;Poitiers;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2015
575001;Poitiers;Etudiant (après le bac);19.0;2015
171009;Reims;Ouvrier, Employé;23.0;2016
755009;Toulon;Retraité;16.0;2014
118000;Troyes;Sans emploi;7.0;2015
763029;Valence TGV Rhône-Alpes Sud;Agriculteur, Exploitant agricole;1.0;2015
763029;Valence TGV Rhône-Alpes Sud;Enseignant, Professeur;4.0;2015
763029;Valence TGV Rhône-Alpes Sud;Technicien, Agent de maîtrise;5.0;2015
319012;Aix en Provence-TGV;Etudiant (après le bac);5.0;2015
